,question,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,1,0.8001986742019653,0.7634948492050171,0.6121305823326111,0.7346071004867554,0.6460897326469421,0.729828417301178,0.6864374876022339,0.7223503589630127,0.6902079582214355,0.7209413647651672
1,2,0.6898101568222046,0.6898101568222046,0.46618929505348206,0.4401453137397766,0.45546960830688477,0.6898101568222046,0.2544175386428833,0.24790814518928528,0.2238040417432785,0.2364579141139984
2,3,0.3496324419975281,0.3496324419975281,0.3496324419975281,0.3496324419975281,0.3496324419975281,0.3496324419975281,0.3496324419975281,0.3496324419975281,0.3496324419975281,0.32543593645095825
3,4,0.18140125274658203,0.2909242510795593,0.30416780710220337,0.02300676703453064,0.14836592972278595,0.3248518705368042,0.25725919008255005,0.400591105222702,0.3000917136669159,0.20262441039085388
4,5,0.7518132328987122,0.7627009153366089,0.720226526260376,0.7785120010375977,0.735945463180542,0.745220422744751,0.678930401802063,0.8012099862098694,0.7664257287979126,0.7616124749183655
5,6,0.5684354305267334,0.4957695007324219,0.5264928340911865,0.43217819929122925,0.5069038271903992,0.30905672907829285,0.4829983711242676,0.18427413702011108,0.5084230899810791,0.4193565249443054
6,7,0.6275408864021301,0.8108259439468384,0.8312618732452393,0.8156646490097046,0.8147975206375122,0.762526273727417,0.7763863205909729,0.7573349475860596,0.7716498970985413,0.7782788872718811
7,8,0.531527042388916,0.6722246408462524,0.5327051281929016,0.6365766525268555,0.6728342175483704,0.6437779664993286,0.5799968838691711,0.6015490293502808,0.5732656717300415,0.5836539268493652
8,9,0.21551689505577087,0.24207380414009094,0.1637093424797058,0.15432417392730713,0.20793971419334412,0.17640161514282227,0.15966416895389557,0.17683613300323486,0.15092478692531586,0.1938861906528473
9,10,0.7849593758583069,0.7016032338142395,0.6502324342727661,0.6014301776885986,0.6310563087463379,0.47738078236579895,0.6030517816543579,0.4576379656791687,0.5132017731666565,0.3499128222465515
